memoryless,win,input_connection_density,dataset,tstart,tlast,freeze_time_ms,tau_min,tau_max,thr_min,thr_max,refractory,learning_algorithm,macrocolumnShape,minicolumnShape,topology,stdp_apre,stdp_tau,wmax,wmin,winitmax,winitmin,cbf,lr_critical,connection_density,nbneurons,nbsynapses,adaptiveProb,excitatoryProb,firing_rate,lda_score,lda_score_input,svm_linear_score,svm_linear_score_input,svm_rbf_score,svm_rbf_score_input,fold,path_input_connections,path_res_connections
1.0,1.0*rand(),0.15,roshambo,600.0,1200.0,0.0,25.0,25.0,1.0,1.0,1.0,none,"[4, 4, 4]","[2, 2, 1]",custom,0.001,25.0,1.0,0.01,1.0,1.0,1.0,0.1,0.3,256.0,2048.0,1.0,1.0,375.671875,0.3416666666666667,0.7683333333333333,0.33,0.77,0.35833333333333334,0.8466666666666667,1.0,inp_Cr_2048_I_50_R_3.txt,Corr_Cr_2048_I_50_R_6.txt
1.0,1.0*rand(),0.15,roshambo,600.0,1200.0,0.0,25.0,25.0,1.0,1.0,1.0,none,"[4, 4, 4]","[2, 2, 1]",custom,0.001,25.0,1.0,0.01,1.0,1.0,1.0,0.1,0.3,256.0,2048.0,1.0,0.8,244.330078125,0.55,0.7683333333333333,0.5683333333333334,0.77,0.5566666666666666,0.8466666666666667,1.0,inp_Cr_2048_I_50_R_3.txt,Corr_Cr_2048_I_50_R_6.txt
1.0,1.0*rand(),0.15,roshambo,600.0,1200.0,0.0,25.0,25.0,1.0,1.0,1.0,none,"[4, 4, 4]","[2, 2, 1]",custom,0.001,25.0,1.0,0.01,1.0,1.0,1.0,0.1,0.3,256.0,2048.0,1.0,0.6,93.62890625,0.685,0.7683333333333333,0.6533333333333333,0.77,0.6833333333333333,0.8466666666666667,1.0,inp_Cr_2048_I_50_R_3.txt,Corr_Cr_2048_I_50_R_6.txt
1.0,1.0*rand(),0.15,roshambo,600.0,1200.0,0.0,25.0,25.0,1.0,1.0,1.0,none,"[4, 4, 4]","[2, 2, 1]",custom,0.001,25.0,1.0,0.01,1.0,1.0,1.0,0.1,0.3,256.0,2048.0,0.8,1.0,381.658203125,0.38666666666666666,0.7683333333333333,0.38333333333333336,0.77,0.405,0.8466666666666667,1.0,inp_Cr_2048_I_50_R_3.txt,Corr_Cr_2048_I_50_R_6.txt
1.0,1.0*rand(),0.15,roshambo,600.0,1200.0,0.0,25.0,25.0,1.0,1.0,1.0,none,"[4, 4, 4]","[2, 2, 1]",custom,0.001,25.0,1.0,0.01,1.0,1.0,1.0,0.1,0.3,256.0,2048.0,0.8,0.8,265.724609375,0.555,0.7683333333333333,0.5516666666666666,0.77,0.5366666666666666,0.8466666666666667,1.0,inp_Cr_2048_I_50_R_3.txt,Corr_Cr_2048_I_50_R_6.txt
1.0,1.0*rand(),0.15,roshambo,600.0,1200.0,0.0,25.0,25.0,1.0,1.0,1.0,none,"[4, 4, 4]","[2, 2, 1]",custom,0.001,25.0,1.0,0.01,1.0,1.0,1.0,0.1,0.3,256.0,2048.0,0.8,0.6,111.60546875,0.69,0.7683333333333333,0.6616666666666666,0.77,0.6716666666666666,0.8466666666666667,1.0,inp_Cr_2048_I_50_R_3.txt,Corr_Cr_2048_I_50_R_6.txt
1.0,1.0*rand(),0.15,roshambo,600.0,1200.0,0.0,25.0,25.0,1.0,1.0,1.0,none,"[4, 4, 4]","[2, 2, 1]",custom,0.001,25.0,1.0,0.01,1.0,1.0,1.0,0.1,0.3,256.0,2048.0,0.6,1.0,388.853515625,0.3616666666666667,0.7683333333333333,0.37166666666666665,0.77,0.3883333333333333,0.8466666666666667,1.0,inp_Cr_2048_I_50_R_3.txt,Corr_Cr_2048_I_50_R_6.txt
1.0,1.0*rand(),0.15,roshambo,600.0,1200.0,0.0,25.0,25.0,1.0,1.0,1.0,none,"[4, 4, 4]","[2, 2, 1]",custom,0.001,25.0,1.0,0.01,1.0,1.0,1.0,0.1,0.3,256.0,2048.0,0.6,0.8,281.548828125,0.5383333333333333,0.7683333333333333,0.5416666666666666,0.77,0.52,0.8466666666666667,1.0,inp_Cr_2048_I_50_R_3.txt,Corr_Cr_2048_I_50_R_6.txt
1.0,1.0*rand(),0.15,roshambo,600.0,1200.0,0.0,25.0,25.0,1.0,1.0,1.0,none,"[4, 4, 4]","[2, 2, 1]",custom,0.001,25.0,1.0,0.01,1.0,1.0,1.0,0.1,0.3,256.0,2048.0,0.6,0.6,120.109375,0.67,0.7683333333333333,0.6516666666666666,0.77,0.66,0.8466666666666667,1.0,inp_Cr_2048_I_50_R_3.txt,Corr_Cr_2048_I_50_R_6.txt
1.0,1.0*rand(),0.15,roshambo,600.0,1200.0,0.0,25.0,25.0,1.0,1.0,1.0,none,"[4, 4, 4]","[2, 2, 1]",custom,0.001,25.0,1.0,0.01,1.0,1.0,1.0,0.1,0.3,256.0,2048.0,0.4,1.0,396.994140625,0.3466666666666667,0.7683333333333333,0.335,0.77,0.33666666666666667,0.8466666666666667,1.0,inp_Cr_2048_I_50_R_3.txt,Corr_Cr_2048_I_50_R_6.txt
1.0,1.0*rand(),0.15,roshambo,600.0,1200.0,0.0,25.0,25.0,1.0,1.0,1.0,none,"[4, 4, 4]","[2, 2, 1]",custom,0.001,25.0,1.0,0.01,1.0,1.0,1.0,0.1,0.3,256.0,2048.0,0.4,0.8,307.6796875,0.49833333333333335,0.7683333333333333,0.495,0.77,0.4683333333333333,0.8466666666666667,1.0,inp_Cr_2048_I_50_R_3.txt,Corr_Cr_2048_I_50_R_6.txt
1.0,1.0*rand(),0.15,roshambo,600.0,1200.0,0.0,25.0,25.0,1.0,1.0,1.0,none,"[4, 4, 4]","[2, 2, 1]",custom,0.001,25.0,1.0,0.01,1.0,1.0,1.0,0.1,0.3,256.0,2048.0,0.4,0.6,138.396484375,0.695,0.7683333333333333,0.6616666666666666,0.77,0.68,0.8466666666666667,1.0,inp_Cr_2048_I_50_R_3.txt,Corr_Cr_2048_I_50_R_6.txt
1.0,1.0*rand(),0.15,roshambo,600.0,1200.0,0.0,25.0,25.0,1.0,1.0,1.0,none,"[4, 4, 4]","[2, 2, 1]",custom,0.001,25.0,1.0,0.01,1.0,1.0,1.0,0.1,0.3,256.0,2048.0,0.0,1.0,410.70703125,0.39166666666666666,0.7683333333333333,0.385,0.77,0.3516666666666667,0.8466666666666667,1.0,inp_Cr_2048_I_50_R_3.txt,Corr_Cr_2048_I_50_R_6.txt
1.0,1.0*rand(),0.15,roshambo,600.0,1200.0,0.0,25.0,25.0,1.0,1.0,1.0,none,"[4, 4, 4]","[2, 2, 1]",custom,0.001,25.0,1.0,0.01,1.0,1.0,1.0,0.1,0.3,256.0,2048.0,0.0,0.8,354.30078125,0.30333333333333334,0.7683333333333333,0.2866666666666667,0.77,0.32166666666666666,0.8466666666666667,1.0,inp_Cr_2048_I_50_R_3.txt,Corr_Cr_2048_I_50_R_6.txt
1.0,1.0*rand(),0.15,roshambo,600.0,1200.0,0.0,25.0,25.0,1.0,1.0,1.0,none,"[4, 4, 4]","[2, 2, 1]",custom,0.001,25.0,1.0,0.01,1.0,1.0,1.0,0.1,0.3,256.0,2048.0,0.0,0.6,173.6484375,0.7,0.7683333333333333,0.6716666666666666,0.77,0.6716666666666666,0.8466666666666667,1.0,inp_Cr_2048_I_50_R_3.txt,Corr_Cr_2048_I_50_R_6.txt
1.0,1.0*rand(),0.15,roshambo,600.0,1200.0,0.0,25.0,25.0,5.0,5.0,1.0,none,"[4, 4, 4]","[2, 2, 1]",custom,0.001,25.0,1.0,0.01,1.0,1.0,1.0,0.1,0.3,256.0,2048.0,1.0,1.0,0.42578125,0.7166666666666667,0.7683333333333333,0.7133333333333334,0.77,0.7216666666666667,0.8466666666666667,1.0,inp_Cr_2048_I_50_R_3.txt,Corr_Cr_2048_I_50_R_6.txt
